ERR1465792	ERR1367652	0
ERR1465793	ERR1367634	0
ERR1633780	ERR1193747	0
SRR5114019	SRR3205958	0
ERR1161621	ERR1161619	24.2550859651158
ERR1161622	ERR1161619	29.3047939711197
ERR1161622	ERR1161621	21.2110801200873
ERR1161623	ERR1161619	21.231475556217
ERR1161623	ERR1161621	14.1461837249126
ERR1161623	ERR1161622	14.1463261600519
ERR1161624	ERR1161619	21.2520787522203
ERR1161624	ERR1161621	19.2396874683123
ERR1161624	ERR1161622	17.2128571750082
ERR1161624	ERR1161623	3.04014030356624
ERR1193843	ERR1193842	22.3025641049919
ERR1193861	ERR1193792	19.254714880266
ERR1193864	ERR1193863	15.2146565963396
ERR1193881	ERR1193747	25.6526424102222
ERR1193881	ERR1633780	25.6526424102222
ERR1193882	ERR1193747	38.987160376241
ERR1193882	ERR1633780	38.987160376241
ERR1193903	ERR1193900	11.1665708795551
ERR1193904	ERR1193900	16.3367520464091
ERR1193904	ERR1193903	15.3257424264392
ERR1199098	ERR1199096	25.3032767811637
ERR1199099	ERR1199093	38.6488856132767
ERR1199103	ERR1199096	17.2161994508244
ERR1199103	ERR1199098	20.2393852028071
ERR1199105	ERR1199096	26.4167556972448
ERR1199105	ERR1199098	31.4768244311602
ERR1199105	ERR1199103	24.4200202513426
ERR1199106	ERR1199093	28.1895575429547
ERR1199108	ERR1199093	28.2058990634326
ERR1199108	ERR1199106	32.3666326527723
ERR1199109	ERR1199099	24.3916432531358
ERR1199112	ERR1199101	28.3908448819274
ERR1199113	ERR1199096	19.2591515092403
ERR1199113	ERR1199098	24.3103099381429
ERR1199113	ERR1199103	16.2305838553637
ERR1199113	ERR1199105	22.2801235897834
ERR1199115	ERR1199093	25.1383624118598
ERR1199115	ERR1199106	31.3727582742855
ERR1199115	ERR1199108	26.3037258099397
ERR1199122	ERR1199102	15.1917265255516
ERR1199127	ERR1199093	30.4069815392601
ERR1199127	ERR1199106	36.4639873871899
ERR1199127	ERR1199108	27.3441611292883
ERR1199127	ERR1199115	29.3317385277177
ERR1199128	ERR1199102	27.3883081668698
ERR1199128	ERR1199122	26.3246948731605
ERR1227529	ERR1227527	12.1266501546041
ERR1227530	ERR1227527	13.1391691988703
ERR1227530	ERR1227529	3.03660113198935
ERR1544432	ERR1544431	0
ERR1544435	ERR1544431	5.05872905818429
ERR1544435	ERR1544432	5.05165309729836
ERR1544436	ERR1544431	5.05497588665313
ERR1544436	ERR1544432	5.05131490691503
ERR1544436	ERR1544435	1.01060646451969
ERR1544437	ERR1544431	1.01302092077719
ERR1544437	ERR1544432	2.0319710001983
ERR1544437	ERR1544435	6.10010406440443
ERR1544437	ERR1544436	6.09493203753209
ERR1544438	ERR1544431	4.04443916014771
ERR1544438	ERR1544432	4.05387924383034
ERR1544438	ERR1544435	2.02858867611306
ERR1544438	ERR1544436	2.0262469391994
ERR1544438	ERR1544437	6.06747344544476
ERR1544439	ERR1544431	4.03818441382167
ERR1544439	ERR1544432	4.04578049969568
ERR1544439	ERR1544435	1.01213722967326
ERR1544439	ERR1544436	1.01153693387819
ERR1544439	ERR1544437	6.0749325000616
ERR1544439	ERR1544438	1.01038240792966
ERR1544440	ERR1544431	4.04038888117859
ERR1544440	ERR1544432	5.0548340099517
ERR1544440	ERR1544435	2.02321612389353
ERR1544440	ERR1544436	1.0105724672584
ERR1544440	ERR1544437	4.05599277967312
ERR1544440	ERR1544438	2.02257921976581
ERR1544440	ERR1544439	1.0102498960452
ERR1544441	ERR1544431	4.05221686143263
ERR1544441	ERR1544432	4.06351737682682
ERR1544441	ERR1544435	1.01666821049962
ERR1544441	ERR1544436	1.01568386687922
ERR1544441	ERR1544437	5.03898092198984
ERR1544441	ERR1544438	2.02223588938405
ERR1544441	ERR1544439	0
ERR1544441	ERR1544440	2.02768965742472
ERR1555045	ERR1555043	6.05174230232047
ERR1555048	ERR1555047	0
ERR1555049	ERR1193782	17.4227625177155
ERR1555053	ERR1555041	0
ERR1555054	ERR1555043	1.00895669289012
ERR1555054	ERR1555045	0
ERR1555056	ERR1193782	16.4031844574582
